Category,Issue,Platform,iOS Tool,Android Tool,Minimum Spec,Do,Don't,Code Example,WCAG Level
Reduce Motion,reduce motion animation accessibility preference,Both,Settings > Accessibility > Motion > Reduce Motion; UIAccessibility.isReduceMotionEnabled,Settings > Accessibility > Remove animations; AnimatorDurationScale adb shell setting,Disable or simplify animations when Reduce Motion is enabled,"Check UIAccessibility.isReduceMotionEnabled / reduceMotionEnabled before starting animations; provide fade instead of slide; test with ReduceMotion on","Full navigation slide transitions even with Reduce Motion on; background micro-animations that distract (reduced continuously)","iOS: withAnimation(UIAccessibility.isReduceMotionEnabled ? .none : .spring()) {}; RN: AccessibilityInfo.isReduceMotionEnabled",AAA
Image Text Alternative,image icon decorative meaningful alt text description,Both,Accessibility Inspector: identify images without labels; VoiceOver reads 'image' for unlabeled,TalkBack: reads file name or 'unlabeled' for images without contentDescription; Lint 'ImageContrastCheck',"Every informational image needs alt text; decorative images must be hidden from screen readers","Write concise alt text (aim 0-150 chars); describe what the image conveys not what it looks like; hide decorative images","Alt text that repeats surrounding text; alt text 'image of...' (redundant); showing complex charts with no text alternative","iOS: Image('logo').accessibilityLabel('Company Logo').accessibilityHidden(decorative: false); Compose: Image(contentDescription='Profile photo')",A
Form Labels and Errors,form input label error message field validation,Both,VoiceOver: test each input navigating and activating; announce label + hint + error,TalkBack: input fields must announce label; errorMessage via setError() announced automatically,"Every input must have a persistent visible label; error messages must be associated with input; live announce on validation error","Use placeholder AND label (placeholder disappears on type); associate error message with field; announce when error appears/clears","Placeholder-only inputs (no persistent label); error shown visually only without announcement; generic 'Invalid' error without context","iOS: TextField('Name',text:$name).accessibilityHint('Enter your full name'); Android: TextInputLayout with setError()",A
Keyboard Navigation (Tablet),keyboard navigation bluetooth keyboard external tablet,Both,Simulate bluetooth keyboard navigation in Accessibility Inspector; hardware keyboard in simulator,Test with physical keyboard connected to Android tablet; TabChain and focus visualization,All interactive elements must be reachable and operable via keyboard on tablet,"Support Tab/Shift+Tab navigation; Enter/Space activates; Escape/Back dismisses panels; arrow keys navigate lists","Elements that can only be activated by touch not keyboard; no visible focus ring; Tab order different from swipe/visual order","iOS: keyboardShortcut(.tab, modifiers:[]); Compose: focusRequester(); HardwareBackHandler",A
Accessible Error Identification,error identification form field validation clear message,Both,VoiceOver: form error announcement; test submit with invalid data,TalkBack: setError() auto-announces; live region on error container,Error messages must describe what went wrong and how to fix it,"Error message: specific ('Password must be 8+ characters') not generic ('Invalid'); show in red AND with error icon symbol","'Error!' with no context; error only shown via color change; no instructions on how to fix","iOS: Text(errorMessage).foregroundColor(.red).accessibilityLabel(errorMessage); Android: TextInputLayout.setError('Password too short')",A
Reduce Transparency,reduce transparency blur frosted glass vibrancy,iOS,"Settings > Accessibility > Display & Text > Reduce Transparency; UIAccessibility.isReduceTransparencyEnabled","Not applicable — Android has no system-level transparency reduction setting","Reduce blur/vibrancy when Reduce Transparency is enabled — replace with solid background versions","Check isReduceTransparencyEnabled; use solid background color instead of UIBlurEffectStyle; test UI clarity without blur","All UI elements behind blur with no opaque fallback; navigation bar visible only through blur when disabled","UIBlurEffect: if reduceTransparency backgroundColor=systemBackgroundColor else useBlur",AAA
VoiceOver Rotor Navigation,voiceover rotor navigation headings links custom,iOS,VoiceOver Rotor (rotate two fingers): Headings Links Words Characters Custom Items; test all rotor categories,TalkBack Local Context Menu equivalent; TalkBack headings navigation,App content must be navigable by all rotor categories especially Headings and Links,"Add heading traits to section headers; ensure links have descriptive text; add Custom Rotor for app-specific navigation (search filters)","Navigation that only works by linear swipe; app with no headings making Headings rotor useless; custom rotor items with generic names","UIAccessibilityCustomRotor(name:'Tasks') { info in ... }; accessibilityAddTraits(.header)",A
TalkBack Explore by Touch,talkback explore touch finger feedback,Android,Not applicable — iOS uses different model,TalkBack Explore by Touch: hover finger over screen to hear items under finger; test all interactive elements are reachable,Every interactive element must be reachable by dragging finger around screen,"Test by enabling TalkBack and dragging finger across all interactive areas; ensure overlapping views don't block","Interactive elements covered by decorative overlay; custom touch regions that don't receive hover events in TalkBack","android:importantForAccessibility='yes'; Modifier.semantics { contentDescription = ... }; avoid clickable on containers",A
Accessible Rich Content,rich content data table chart graph accessible,Both,VoiceOver: tables navigated by row/column; charts announced as image by default; custom rotor needed,TalkBack: tables navigated by grid; charts need contentDescription or custom implementation,Charts and complex data must have accessible text alternative or accessible data table,"For charts: provide 'View as Table' button; for data tables: use proper table markup with headers; announce total trend in chart description","Image-only chart with no text alternative; data table with no row/column header association; interactive chart with no keyboard/accessible controls","iOS: List with ForEach for accessible table; chart + Button('View data as list'); Android: RecyclerView with table role",AA
Screen Reader Reading Order,reading order dom view order visual,Both,VoiceOver: swipe and confirm element reads in expected visual order,TalkBack: linearization audit; visualize focus via Developer Options > Show layout bounds check order,"Visual reading order (top-to-bottom LTR) must match swipe/focus order","Use semantic structure to control reading order; use accessibilitySortPriority to override; test flow with VoiceOver swipe","Absolutely positioned elements read in insertion order not visual order; content in wrong z-order reads out of sequence","iOS: .accessibilitySortPriority(100) for priority; Android: android:accessibilityTraversalBefore/After",A
Physical Touch Target Size (NNGroup),touch target physical 1cm minimum nngroup research study,Both,"Accessibility Inspector; measure on physical device with ruler — digital specs (pt/dp) don't communicate physical reality",AccessibilityScanner; test on actual device not emulator,"1cm × 1cm physical minimum (NNGroup / Parhi et al.); MIT Touch Lab: avg fingertip 1.6-2cm; avg thumb 2.5cm impact area; 44pt on 2x = ~7mm (BELOW 1cm — minimum is a compromise)","For apps used in motion (in-store walking driving): increase targets to 2cm×2cm; primary CTAs 2/3+ screen width; test on physical device not simulator where clicks are pixel-perfect","Designing touch targets that pass 44pt spec in Xcode but feel impossible on actual device; assuming simulator click accuracy equals real finger accuracy","Measure: 44pt on @3x = 44×3=132px at 3x ≈ 11mm ✓; 32pt on @3x = 32×3=96px ≈ 8mm ✗ below 1cm",AA
View-Tap Asymmetry Research,view tap asymmetry visible small tappable impossible,Both,"Test: can you accurately tap the element without hitting adjacent elements? Measure physical size","AccessibilityScanner; TalkBack Explore by Touch: dragging finger must land accurately on correct target","Elements that are readable/visible to eye but untappable accurately by finger — e.g. carousel dots (1-2mm), color swatches, pagination indicators","If an element is interactive it must pass 1cm physical tap target minimum — not just visible size; add invisible tap area extension if visual size must stay small","Carousel dot indicators as primary navigation without prev/next buttons; 6px × 6px pagination dots; tiny color swatches on product grids","iOS: ZStack { Dot().frame(8).padding(18) } // 8pt visual 44pt tappable; Android: View 8dp visual touchDelegate 48dp tappable",AA
Touch Target Spacing (Adjacent Errors),touch target gap spacing adjacent crowding slip error,Both,"Test rapid sequential taps on adjacent targets; observe error rate on physical device","AccessibilityScanner spacing check; manual test of adjacent action buttons","Minimum 8dp gap between adjacent interactive elements; elements that are same size but adjacent can still cause mistaps if gap <8dp","Space stacked action buttons 8-16dp apart; place destructive actions (Delete) far from safe actions (Save); for same-density layouts use single-target rows","Stacked buttons with 2dp gap (NNGroup Instagram dismiss failure study); Delete at same spacing as Edit in list row; icon buttons horizontally packed without gap","Minimum 8pt/dp between any two touchable regions; for error-sensitive pairs (delete/confirm) use 24pt+ separation",AA
Coach Mark Single Tip Rule,coach mark tip overlay single focused one at a time sequential,Both,"VoiceOver: announce when coach mark appears; is it focus-trapped? Can user dismiss with accessible action?","TalkBack: focus must move to coach mark tooltip on appearance; dismiss via back/swipe","Coach marks must be single-focused: one tip at a time; max 5 in entire onboarding sequence; tips must be dismissible and never block critical UI permanently","Show one coach mark at a time contextually; include visual arrow pointing to feature; use ultra-short copy <15 words; present at moment of first relevant action","Series of 8+ coach marks on first launch; tips that auto-dismiss in 1.5s leaving screen reader no time to read; coach mark shown every session","Announce appearance via live region; trap focus; provide custom accessibility action 'Dismiss hint'",AA
