Pattern Name,Keywords,Pattern Type,When to Use,When to Avoid,iOS Convention,Android Convention,Cross-Platform Note,Accessibility
Navigation Rail,navigation rail side rail large screen tablet,Navigation Rail,"Tablet/large phone landscape; 3-7 destinations; when screen width > 600dp","Small phone screens; narrow viewports; more than 7 destinations","Not a native iOS component; use sidebar on iPad (UISplitViewController sidebar)","NavigationRail (MD3); left side on landscape tablet; icons with optional labels","Flutter NavigationRail; Compose NavigationRail; adaptive: bottom nav on phone → rail on tablet","Tab order follows rail items top-to-bottom; FAB in rail header should be first in focus order"
Swipe Page Navigation,swipe page pager horizontal scroll pages,Swipe Navigation,"Onboarding screens; media galleries; flat peer content (feeds stories)","Navigating hierarchical content; when page count > 7; if back navigation is ambiguous","UIPageViewController; page control dots; scroll indicator; avoid with tab bar overlap","ViewPager2 (MD3); HorizontalPager in Compose; page indicator dots optional","React Navigation tab with swipeEnabled; Flutter PageView; Swipeable (RN Reanimated)","Page change announced; page count communicated; swipe has no keyboard alternative — provide next/prev buttons"
Settings Navigation,settings preferences drill-down sections,Settings,"App settings and preferences; user profile; account management","Dynamic content; primary features; items users access daily","UITableViewController grouped style; drill-down push nav; toggles + selection cells","Settings screen with grouped list (MD3 List); switch rows; drill-down for sub-sections","React Native SettingsScreen pattern; Flutter ListTile navigation; GoRouter nested routes","Section headers announced; toggle state read aloud; destructive actions require confirmation"
Contextual Menu Navigation,context menu long press popup quick action,Contextual Navigation,"Quick actions on items (edit delete share); item-level secondary actions","Primary action (use button); navigation to unrelated screens","UIContextMenuInteraction; UIMenu; preview peek; activates on long press","Context menu (MD3); anchor to item; PopupMenu; long press trigger","React Native ContextMenu; Pressable onLongPress; Flutter ContextMenuButtonItem","Accessible via 'Actions' in VoiceOver; menu items announced; dismissed on Escape/back"
Tab Badge,tab badge notification unread count indicator,Tab Badge,"Unread count; new content notification; pending action count","Decorative use; counts that update excessively; showing counts > 999","UITabBarItem.badgeValue; max 3 digits + '+'; red circle top-right of icon","Badge on Navigation Bar destination; MaterialBadge; optional text badge or dot","React Navigation tabBarBadge; Flutter Badge widget (Material 3)","Badge values announced with tab label: '3 unread, Inbox tab'; badge-only dots say 'new content'"
Master-Detail,master detail list select,Master-Detail,"Viewing items in a list and their detail; email news reader; contacts","When items have no meaningful detail; single-item apps; dynamic content with no list","UISplitViewController (iPad); collapses to NavigationController on iPhone","Adaptive layout: list + detail pane on large; single pane on phone","Flutter responsive layout NavigationRail + detail; React Navigation split","List items have accessible names; detail pane announced when updated; loading states announced"
Floating Action Button Navigation,fab floating action button primary action navigate,FAB Navigation,"Launching creation flow (new message new post); single most important action","Showing multiple options (use bottom sheet or menu); navigation between peer sections","Not standard iOS — use large primary button or toolbar button","FAB (MD3); bottom-right position; morphs to small/medium/large","React Native FAB; Flutter FloatingActionButton; Compose FloatingActionButton","FAB must have accessibilityLabel (not just icon); tooltip on long press describes action; single FAB per screen"
Onboarding Flow Navigation,onboarding wizard step flow multi-step,Onboarding,"First-time user setup; feature discovery; permission request sequence","Returning users who completed onboarding; optional features","PageViewController with progress indicator; 'Get Started' CTA; skip option","Compose onboarding with AnimatedVisibility; step indicator; 'Continue' / 'Skip' actions","React Navigation onboarding stack; Flutter onboarding page flow; stack with no back","Skip button must be accessible; step number announced ('Step 2 of 4'); 'Finish' announces completion"
Back Navigation iOS,back navigation ios swipe gesture return,Back Navigation (iOS),"Returning to previous screen; navigating up in hierarchy","Exiting modal flows (use dismiss/done); custom transitions that override system gesture","UINavigationController back swipe; 'Back' label with previous screen title; left edge swipe","Not applicable on iOS — Android uses different pattern","React Navigation iOS uses swipe-back by default; cannot fully prevent system gesture","Back button must have accessible label; if custom back hidden — add explicit close/done button"
Android Back Navigation,back button android system gesture navigation,Back Navigation (Android),"Returning in back stack; Android predictive back gesture (API 34+)","Inconsistent with forward navigation direction; clearing back stack unexpectedly","Not applicable on Android","System back button/gesture; predictive back animation (API34+); onBackPressed override","React Native BackHandler; Flutter Navigator pop; Compose BackHandler","Back gesture is system-level accessible; add software back button if gesture may not be discoverable"
Expandable List Navigation,expandable list accordion sections expand collapse,Expandable List,"Grouped settings with subcategories; categorized content; FAQs","Deep hierarchical navigation (prefer push nav); if items have detail views (push instead)","DisclosureGroup (SwiftUI); expandable UITableView sections","ExpandableListView; LazyColumn with expand state in Compose","React Native Accordion; Flutter ExpansionTile; AccordionSection","Announce expanded/collapsed state; 'expanded' or 'collapsed' appended to section header"
Quick Actions Home Screen,quick action home screen shortcut 3d touch long press,Quick Actions,"Common app actions from home screen; power-user shortcuts","Actions requiring authentication; destructive irreversible actions","UIApplicationShortcutItem (Home screen); UIContextMenuInteraction (in-app peek)","Android shortcuts (static + dynamic); App manifest shortcut; pinned shortcuts","React Native (iOS only quickActions); not available in Flutter for Android without native code","Each shortcut must have a title; avoid misleading action names; confirm destructive shortcuts"
Search Results Navigation,search results list filter navigate,Search Results,"Displaying filtered content; showing search suggestions; navigating to result items","Empty states without messaging; results without back-to-search path","UISearchController resultsController; push result detail on tap; clear returns to search","Search results in RecyclerView; tap to navigate; back returns to search with query preserved","React Native FlatList with search results; Flutter SearchDelegate buildResults","Announce result count; 'No results' announced; result items have descriptive accessible names"
Tab Switcher,tab switcher browser-like multiple instances,Tab Switcher,"Managing multiple open items (browser tabs); multi-window workflow","Standard single-flow apps; creates cognitive overhead; use sparingly","UITabOverview; Safari-style grid; SwiftUI approach varies","Chrome Custom Tabs; multi-window Android 12+ split-screen","React Native WebView tab pattern; Flutter WebView with tab management","Tab count announced; active tab identified; close tab buttons labeled with tab title"
Pop-up Menu,popup menu dropdown anchor contextual,Pop-up Menu,"Selecting from 2-6 options anchored to element; sort options; filter options; secondary actions on item","Long lists (use full sheet); primary action (use button); permanent choices","UIMenu (iOS 14+); anchored popover on iPad; action sheet on iPhone","DropdownMenu (MD3) anchored popover; dismisses on outside tap or selection","React Native Modal with styled menu; @react-native-menu/menu; Flutter PopupMenuButton","Menu items announced; checkmarks in menu read as 'selected'; dismiss on Escape/back"
Share Sheet,share sheet system share native ios android,Share Sheet,"Sharing content to other apps or contacts; exporting data","App-internal sharing (show inline options instead); if only 1 destination","UIActivityViewController; system sheet; cannot customize activity order","Android Sharesheet (Intent.ACTION_SEND); ChooserIntent; recent contacts shown","React Native Share API; Flutter Share plugin; both trigger native system sheet","Native share sheets are fully accessible; custom share UIs must provide same actions with labels"
